Brokerage Company Name,NMLS# ,# of LO's as of 4/1/25,Company URL,Status,,Method,
Cross Country Mortgage,3029,4136,https://crosscountrymortgage.com/,ok,https://crosscountrymortgage.com/mortgage/find-a-loan-officer/,3357,https://docs.google.com/spreadsheets/d/1xqLh6w1TZKeXBfmy_pP4iBrPtVHkh5xa2fBr5kHGrwo/edit?gid=0#gid=0
"NEXA Mortgage, LLC",1660690,3006,https://nexamortgage.com/,,http://mortgagematchup.com/Company/NEXAMortgageLLC38234?page=636,3179,https://docs.google.com/spreadsheets/d/1UjB_GATK3O5e27pFhDqdqAGVjVU1wTmxizeUsvxbZFo/edit?gid=0#gid=0
"New American Funding, LLC",6606,2430,https://www.newamericanfunding.com/,ok,Search Button,2320,https://docs.google.com/spreadsheets/d/1xDpyWd4FarrOaY9tRwmi6NLEXCrN3dWC8xERl_zTkGk/edit?gid=0#gid=0
"Guaranteed Rate, Inc",2611,2160,https://www.rate.com/,ok,https://www.rate.com/find-loan-officer,1537,https://docs.google.com/spreadsheets/d/193gD3CyUCXQA6EVy7MhRMDdxqvlkloU_eqCIdzSdpeA/edit?gid=0#gid=0
"CMG Mortgage, Inc",1820,2012,https://www.cmgfi.com/,ok,https://www.cmgfi.com/find-loan-officer#loan,6252,https://docs.google.com/spreadsheets/d/1hZL0qx6dFFRaBtEiXeyADtratWkFMKzBa7kaiH_s_AQ/edit?gid=0#gid=0
"Barrett Financial Group, LLC",181106,1709,https://www.barrettfinancial.com/,ok,https://www.barrettfinancial.com/staff-roster,1807,https://docs.google.com/spreadsheets/d/1jJ4u61HzJk2Hmi_0MEBrdw-8DbImImzz1M9AidXL10M/edit?gid=0#gid=0
"Loan Factory, Inc",320841,1648,https://www.loanfactory.com/,ok,https://www.loanfactory.com/en/find-loan-officers,871,https://docs.google.com/spreadsheets/d/1e9C5N1B_5rMigeJz6v6q87ikqkRxbG-B9fbjVSA3C6g/edit?gid=0#gid=0
Edge Home Finance,891464,1133,https://edgehomefinance.com/,,https://edgehomefinance.com/our-team/,1142,https://docs.google.com/spreadsheets/d/19iluQh2XZPezgSodN8bMhJ7J96IfTEpTx0VsoRfiu0Y/edit?gid=0#gid=0
C2 Financial ,135622,1037,https://www.c2financial.com/,,https://www.c2financial.com/company,Only 12 records,https://docs.google.com/spreadsheets/d/1Zb8abtLjem6eEnzZOlMUm6h_l2v8ICuKY0mmV0UnCBE/edit?gid=0#gid=0
E Mortgage Capital Inc,1416824,849,https://www.emortgagecapital.com/,ok,https://www.emortgagecapital.com/find-loan-officer,698,https://docs.google.com/spreadsheets/d/1wCsjNZKQ0TT0VA3A1nAm2zUaFfGum24BaOkTpidLpS4/edit?gid=0#gid=0
PRMG,75243,704,https://prmg.net/,ok,https://prmg.net/search/,630,https://docs.google.com/spreadsheets/d/11JHE1VnSBPxMMxpZ5VTnUAYvbXcqJkbXuUtGGdi-ktc/edit?gid=0#gid=0
"Texana Bank, N.A.",407536,639,https://texanabank.com/,,https://mortgage.texanabank.com/branch-locator/,385,https://docs.google.com/spreadsheets/d/10xwB7r_EUO85FwMyeCoUEbNcBApflcKTgDRHlIZbZAk/edit?gid=0#gid=0
"Prosperity Home Mortgage, LLC",75164,527,https://www.phmloans.com/,ok,https://www.phmloans.com/find-us,379,https://docs.google.com/spreadsheets/d/17gfo5xk4lpnU1aKwDvy5ZjI6roRaSmMcQE5wGy8sQ-o/edit?gid=0#gid=0
Equity Smart Home Loans,856170,431,https://equitysmartloans.com/,ok,https://equitysmartloans.com/mlodirectory/,370,https://docs.google.com/spreadsheets/d/10-71vJ9-NtaElsaGBeJDBjRJ4hudeF0zkGeYfPHPUbo/edit?gid=0#gid=0
T2 Financial DBA Revolution Mortgage,1686046,410,https://www.revolutionmortgage.com/,ok,https://www.revolutionmortgage.com/loan-officers,366,https://docs.google.com/spreadsheets/d/1E_1w__1_S3IAKCi3bTo7Lf5YWmCM8jx5KLw69pv51x4/edit?gid=0#gid=0
Mortgage Calculator Company LLC,2377459,401,https://themortgagecalculator.com/,,,,https://docs.google.com/spreadsheets/d/1x5wmHJsW6AhYSTBuNgwNrDENyP8nA3vvP3uvjfiEBI8/edit?gid=0#gid=0
Family First Funding LLC,810371,,,,,,
Leader One Financial Corp,12007,301,https://leaderonefinancial.com/,ok,https://leaderonefinancial.com/find-a-loan-officer/,247,https://docs.google.com/spreadsheets/d/1PqTYH1M5VkjK65VONTgUuOla_hEb1LMF9pVRVTduVyg/edit?gid=0#gid=0
"DAS Acquisition Company, LLC",227262,295,https://www.usamortgage.com/,ok,https://www.usamortgage.com/find-a-branch/,251,https://docs.google.com/spreadsheets/d/1qzdAzzLftZDCBiW_zSdA-NjUfRXs9ibR2wZEwqA5ROw/edit?gid=0#gid=0
Go Rascal Inc,2072896,254,https://www.gorascal.com/,ok,https://www.gorascal.com/meet-our-team,164,https://docs.google.com/spreadsheets/d/1qIeQIhAlno5lNVIpUY7z8SCrsRNE_QdR2mV1Zgd6JxE/edit?gid=0#gid=0
"Groves Capital, Inc. ",1678775,243,https://grovescapital.com/,ok,https://mortgagematchup.com/Company/GrovesCapitalINC85546?page=1,228,https://docs.google.com/spreadsheets/d/1vDrC4E_1Z5jyJzax1WXX4-DEfv11rFIRL2A3M5eQz-M/edit?gid=0#gid=0
Churchill Mortgage Corporation,1591,225,https://www.churchillmortgage.com/,ok,https://www.churchillmortgage.com/loan-officers,992,https://docs.google.com/spreadsheets/d/1GO0quDZBToR9mtcBEvOxAV3n0Jlo3NzQmmeJy3i6vvo/edit?gid=0#gid=0
Commercial Capital Finance,2174471,,,,,,
Southwest Funding,32139,186,https://www.southwestfunding.com/,,https://www.southwestfunding.com/branch/501,36,https://docs.google.com/spreadsheets/d/1BFC5BJPrt7NVt6CMpv2d3PZ-XYGBOKNSDeNwEoqqPSY/edit?gid=0#gid=0
"Empire Home Loans, Inc. ",1839243,178,https://www.empirehomeloans.com/,ok,When click in header Tab Location,169,https://docs.google.com/spreadsheets/d/1YXm0cgw4IVlQM-KZJQkIk5ksV2DA-IcdsJo9xtcUb_I/edit?gid=0#gid=0
Mpire Financial Group LLC,2108504,177,https://mpirefi.com/,,https://mortgagematchup.com/Company/MPIREFINANCIALGROUPLLC82545?page=1,157,https://docs.google.com/spreadsheets/d/1K4belZ9y339Rdez5JzD2NCPP-JjbdGOmbwXlTro72dM/edit?gid=0#gid=0
"Clear Mortgage Capital, Inc",1935005,174,https://www.clearmortgagecapital.com/,ok,https://www.clearmortgagecapital.com/loan-officers,140,https://docs.google.com/spreadsheets/d/1-dfhxhipqCBS7YWJSjatV303d7J53fkWCmQBmN7vKSE/edit?gid=0#gid=0
Presidential Bank,421593,171,https://www.presidential.com/,ok,https://www.presidentialbankmortgage.com/branches,103,https://docs.google.com/spreadsheets/d/1nRvUGs-fpG5cuU5o-k0zFPOGhD8VpNX5yGIgPWZEP9c/edit?gid=0#gid=0
Van Dyk Mortgage Corporation,3035,158,https://vandykmortgage.com/,ok,https://vandykmortgage.com/team.php,113,https://docs.google.com/spreadsheets/d/1MI5yLzs_HIHiRWn2EJFmo_d0OUpxiZ_OazuynTmWKBs/edit?gid=0#gid=0
"Answer Home Lending, Inc",2343805,151,https://www.answerhomeloans.com/,,https://mortgagematchup.com/Company/AnswerHomeLoansInc34743?page=1,133,https://docs.google.com/spreadsheets/d/18EyHWaz5bxxvmbl2P1Zt_ciR7CDX001iEpKrNvom-5Q/edit?gid=0#gid=0
Omni-fund Inc,4869,147,https://omni-fund.com/,,,,
"Nationwide Loans, Inc",1799965,124,https://www.nationwideloansinc.com/,,https://mortgagematchup.com/Company/NationwideLoansInc85587?page=1,91,https://docs.google.com/spreadsheets/d/1PO-1jQwpSsJNTxAD9k-xDkcLEoxVM60gA2MBp3jEX4Q/edit?gid=0#gid=0
Bayview Residential Brokerage,329189,118,https://www.bayviewresidential.com/,ok,https://bayviewresidential.com/team.php,116,https://docs.google.com/spreadsheets/d/1_o5aVXVd2Xt1jh7b5GCdg2QTf497h5SjeJcwl2zNEIk/edit?gid=0#gid=0
"Price Mortgage, LLC",1429043,99,https://pricemortgage.com/,ok,https://pricemortgage.com/about/,90,https://docs.google.com/spreadsheets/d/148fj4IYCuQJS7PW1YP7QXD3ARHxwWjsuvGpPnnIkMEY/edit?gid=0#gid=0
Glory Mortgage LLC,2123511,99,https://www.glorymortgage.com/,,https://www.glorymortgage.com/approved-states,63,https://docs.google.com/spreadsheets/d/1EcG4D7PkKKJ1lhe687j_-3CH4_CaY3M_WsOjgeNzjQM/edit?gid=0#gid=0
Future Financial LLC,1621953,98,https://future.loans/,,https://future.loans/our-team/,84,https://docs.google.com/spreadsheets/d/1sLhelUYIqVaS4tVfVbOuROa_LbZCnelDqEdl7Pwl9OA/edit?gid=0#gid=0
Altitude Financial DBA Altitude Home Loans,1955555,95,https://altitudehomeloans.com/,,https://altitudehomeloans.com/our-loan-officers/,65,https://docs.google.com/spreadsheets/d/1V6TgWzTH635lCWflv9a-Jqc1sZP1ekAh214eBCyIcU0/edit?gid=0#gid=0
